json_file,week_section_number,word_count
s1-2023_Final Report-pages.json,3,304
s1-2023_Final Report-pages.json,4,358
s1-2023_Final Report-pages.json,5,433
s1-2023_Final Report-pages.json,6,455
s1-2023_Final Report-pages.json,7,245
s1-2023_Final Report-pages.json,8,401
s1-2023_Final Report-pages.json,9,352
s1-2023_Final Report-pages.json,10,314
s1-2023_Final Report-pages.json,11,247
s1-2023_Final Report-pages.json,12,254
s1-2023_Final Report-pages.json,13,123
s1-2023_Final Report_V2_Man Ki Hui_46727000-pages.json,1,289
s1-2023_Final Report_V2_Man Ki Hui_46727000-pages.json,2,272
s1-2023_Final Report_V2_Man Ki Hui_46727000-pages.json,3,240
s1-2023_Final Report_V2_Man Ki Hui_46727000-pages.json,4,223
s1-2023_Final Report_V2_Man Ki Hui_46727000-pages.json,5,261
s1-2023_Final Report_V2_Man Ki Hui_46727000-pages.json,6,238
s1-2023_Final Report_V2_Man Ki Hui_46727000-pages.json,7,222
s1-2023_Final Report_V2_Man Ki Hui_46727000-pages.json,8,254
s1-2023_Final Report_V2_Man Ki Hui_46727000-pages.json,9,204
s1-2023_Final Report_V2_Man Ki Hui_46727000-pages.json,10,192
s1-2023_Final Report_V2_Man Ki Hui_46727000-pages.json,11,298
s1-2023_Final Report_V2_Man Ki Hui_46727000-pages.json,12,243
s1-2023_Final Report_V2_Man Ki Hui_46727000-pages.json,13,33
s1-2023_Final report_William_Rose_44885261 final version-pages#.json,6,1080
s1-2023_Final report_William_Rose_44885261 final version-pages#.json,7,1285
s1-2023_Final report_William_Rose_44885261 final version-pages#.json,8,272
s1-2023_Final report_William_Rose_44885261 final version-pages#.json,9,351
s1-2023_Final report_William_Rose_44885261 final version-pages#.json,10,265
s1-2023_Final report_William_Rose_44885261 final version-pages#.json,11,369
s1-2023_Final report_William_Rose_44885261 final version-pages#.json,12,176
s1-2023_Final report_William_Rose_44885261 final version-pages#.json,13,34
s1-2023_Final report_William_Rose_44885261 final version-pages#.json,14,114
s1-2023_Final report_William_Rose_44885261 final version-pages#.json,15,47
s1-2023_FinalReport_ManjotGujral_46186433-pages.json,1,467
s1-2023_FinalReport_ManjotGujral_46186433-pages.json,2,487
s1-2023_FinalReport_ManjotGujral_46186433-pages.json,3,426
s1-2023_FinalReport_ManjotGujral_46186433-pages.json,4,385
s1-2023_FinalReport_ManjotGujral_46186433-pages.json,5,346
s1-2023_FinalReport_ManjotGujral_46186433-pages.json,6,307
s1-2023_FinalReport_ManjotGujral_46186433-pages.json,7,334
s1-2023_FinalReport_ManjotGujral_46186433-pages.json,8,328
s1-2023_FinalReport_ManjotGujral_46186433-pages.json,9,309
s1-2023_FinalReport_ManjotGujral_46186433-pages.json,10,307
s1-2023_FinalReport_ManjotGujral_46186433-pages.json,11,330
s1-2023_FinalReport_ManjotGujral_46186433-pages.json,12,214
s1-2023_FinalReport_ManjotGujral_46186433-pages.json,13,321
s1-2023_Final_ Report_46295925-pages.json,1,363
s1-2023_Final_ Report_46295925-pages.json,2,335
s1-2023_Final_ Report_46295925-pages.json,3,285
s1-2023_Final_ Report_46295925-pages.json,4,105
s1-2023_Final_ Report_46295925-pages.json,5,197
s1-2023_Final_ Report_46295925-pages.json,6,213
s1-2023_Final_ Report_46295925-pages.json,7,163
s1-2023_Final_ Report_46295925-pages.json,8,130
s1-2023_Final_ Report_46295925-pages.json,9,117
s1-2023_Final_ Report_46295925-pages.json,10,140
s1-2023_Final_ Report_46295925-pages.json,11,71
s1-2023_Final_ Report_46295925-pages.json,12,132
s1-2023_Final_Report_46318461-pages.json,1,522
s1-2023_Final_Report_46318461-pages.json,2,534
s1-2023_Final_Report_46318461-pages.json,3,459
s1-2023_Final_Report_46318461-pages.json,4,559
s1-2023_Final_Report_46318461-pages.json,5,445
s1-2023_Final_Report_46318461-pages.json,6,733
s1-2023_Final_Report_46318461-pages.json,7,602
s1-2023_Final_Report_46318461-pages.json,8,494
s1-2023_Final_Report_46318461-pages.json,9,554
s1-2023_Final_Report_46318461-pages.json,10,487
s1-2023_Final_Report_46318461-pages.json,11,406
s1-2023_Final_Report_46318461-pages.json,12,535
s1-2023_Final_Report_v1-pages.json,1,420
s1-2023_Final_Report_v1-pages.json,2,396
s1-2023_Final_Report_v1-pages.json,3,429
s1-2023_Final_Report_v1-pages.json,4,402
s1-2023_Final_Report_v1-pages.json,5,343
s1-2023_Final_Report_v1-pages.json,6,704
s1-2023_Final_Report_v1-pages.json,7,390
s1-2023_Final_Report_v1-pages.json,8,575
s1-2023_Final_Report_v1-pages.json,9,455
s1-2023_Final_Report_v1-pages.json,10,546
s1-2023_Final_Report_v1-pages.json,11,641
s1-2023_Final_Report_v1-pages.json,12,659
s1-2023_InternFinalReport_LeiYang (1)-pages.json,1,329
s1-2023_InternFinalReport_LeiYang (1)-pages.json,2,234
s1-2023_InternFinalReport_LeiYang (1)-pages.json,3,350
s1-2023_InternFinalReport_LeiYang (1)-pages.json,4,453
s1-2023_InternFinalReport_LeiYang (1)-pages.json,5,429
s1-2023_InternFinalReport_LeiYang (1)-pages.json,6,246
